#time;posL;posR;velL;velR
0:00:00.010898;-12231.0;18448.0;-1.0;0.0
0:00:00.256014;-12232.0;18447.0;0.0;0.0
0:00:00.307039;-12232.0;18446.0;-8.0;-6.0
0:00:00.409751;-12323.0;18362.0;-20.0;-20.0
0:00:00.597261;-12574.0;18047.0;-28.0;-41.0
0:00:00.613010;-13048.0;17487.0;-63.0;-63.0
0:00:00.709741;-13819.0;16699.0;-86.0;-94.0
0:00:00.810085;-14937.0;15515.0;-112.0;-112.0
0:00:00.907568;-16349.0;14107.0;-126.0;-133.0
0:00:01.009890;-17987.0;12325.0;-140.0;-155.0
0:00:01.107619;-19747.0;10353.0;-147.0;-167.0
0:00:01.210019;-21624.0;8219.0;-160.0;-168.0
0:00:01.307671;-23669.0;6089.0;-172.0;-173.0
0:00:01.410161;-25858.0;3886.0;-175.0;-172.0
0:00:01.508279;-28083.0;1690.0;-180.0;-179.0
0:00:01.610507;-30426.0;-641.0;-181.0;-187.0
0:00:01.708431;-32691.0;-2995.0;-186.0;-193.0
0:00:01.810330;30417.0;-5490.0;-189.0;-197.0
0:00:01.908459;28074.0;-7982.0;-190.0;-215.0
0:00:02.010347;25584.0;-10766.0;-197.0;-216.0
0:00:02.108530;23082.0;-13497.0;-223.0;-199.0
0:00:02.210814;20213.0;-16045.0;-225.0;-182.0
0:00:02.308631;17347.0;-18371.0;-228.0;-190.0
0:00:02.410874;14394.0;-20817.0;-245.0;-205.0
0:00:02.508818;11286.0;-23438.0;-253.0;-231.0
0:00:02.611084;8002.0;-26411.0;-254.0;-268.0
0:00:02.708299;4765.0;-29811.0;-253.0;-280.0
0:00:02.811141;1486.0;32091.0;-263.0;-281.0
0:00:02.908954;-1877.0;28545.0;-279.0;-269.0
0:00:03.010856;-5470.0;25102.0;-286.0;-274.0
0:00:03.108418;-9058.0;21643.0;-291.0;-285.0
0:00:03.211332;-12782.0;17980.0;-276.0;-268.0
0:00:03.309557;-16297.0;14551.0;-283.0;-270.0
0:00:03.411537;-19980.0;11064.0;-299.0;-286.0
0:00:03.509041;-23759.0;7458.0;-299.0;-290.0
0:00:03.611494;-27594.0;3730.0;-290.0;-282.0
0:00:03.708636;-31288.0;157.0;-287.0;-280.0
0:00:03.811266;30523.0;-3491.0;-285.0;-283.0
0:00:03.908774;26889.0;-7070.0;-285.0;-279.0
0:00:04.011867;23187.0;-10694.0;-267.0;-267.0
0:00:04.109594;19831.0;-14083.0;-253.0;-257.0
0:00:04.211339;16597.0;-17412.0;-248.0;-254.0
0:00:04.309126;13502.0;-20620.0;-231.0;-249.0
0:00:04.411385;10526.0;-23824.0;-236.0;-248.0
0:00:04.509225;7557.0;-26969.0;-228.0;-255.0
0:00:04.611946;4614.0;-30265.0;-226.0;-246.0
0:00:04.709725;1760.0;32136.0;-229.0;-238.0
0:00:04.812020;-1223.0;29057.0;-233.0;-233.0
0:00:04.909302;-4184.0;26095.0;-235.0;-225.0
0:00:05.011757;-7195.0;23237.0;-214.0;-205.0
0:00:05.109812;-9845.0;20644.0;-196.0;-201.0
0:00:05.212123;-12488.0;17966.0;-197.0;-190.0
0:00:05.309432;-14957.0;15581.0;-178.0;-173.0
0:00:05.412083;-17384.0;13273.0;-170.0;-167.0
0:00:05.509485;-19500.0;11191.0;-145.0;-139.0
0:00:05.611934;-21457.0;9316.0;-133.0;-120.0
0:00:05.709624;-23134.0;7678.0;-112.0;-105.0
0:00:05.812140;-24534.0;6277.0;-72.0;-68.0
0:00:05.910092;-25439.0;5399.0;-28.0;-32.0
0:00:06.012547;-25868.0;5015.0;-4.0;-5.0
0:00:06.109794;-25922.0;4944.0;0.0;-1.0
0:00:06.212430;-25922.0;4948.0;0.0;0.0
0:00:06.310375;-25922.0;4946.0;0.0;0.0
0:00:06.412556;-25922.0;4946.0;0.0;0.0
0:00:06.510359;-25922.0;4946.0;0.0;0.0
0:00:06.612730;-25922.0;4946.0;0.0;0.0
0:00:06.710516;-25922.0;4946.0;0.0;0.0
0:00:06.812506;-25922.0;4946.0;0.0;0.0
