#time;posL;posR;velL;velR
0:00:00.010076;16137.0;-14589.0;-1.0;2.0
0:00:00.107725;16128.0;-14570.0;-1.0;0.0
0:00:00.211731;16104.0;-14570.0;-19.0;6.0
0:00:00.307464;15845.0;-14465.0;-62.0;43.0
0:00:00.409986;15089.0;-13852.0;-108.0;86.0
0:00:00.507756;13736.0;-12770.0;-161.0;141.0
0:00:00.609942;11671.0;-10944.0;-205.0;182.0
0:00:00.707547;9070.0;-8596.0;-255.0;201.0
0:00:00.809977;5797.0;-5971.0;-275.0;205.0
0:00:00.908044;2333.0;-3338.0;-294.0;206.0
0:00:01.009890;-1445.0;-690.0;-323.0;186.0
0:00:01.107618;-5556.0;1642.0;-342.0;161.0
0:00:01.210451;-9963.0;3754.0;-364.0;156.0
0:00:01.307945;-14600.0;5788.0;-378.0;153.0
0:00:01.410491;-19484.0;7774.0;-380.0;139.0
0:00:01.508197;-24286.0;9537.0;-359.0;140.0
0:00:01.610053;-28913.0;11388.0;-333.0;146.0
0:00:01.707868;32410.0;13319.0;-324.0;151.0
0:00:01.810548;28211.0;15309.0;-310.0;167.0
0:00:01.908459;24285.0;17406.0;-290.0;181.0
0:00:02.010265;20524.0;19764.0;-287.0;199.0
0:00:02.107789;16877.0;22349.0;-291.0;207.0
0:00:02.210192;13182.0;25034.0;-288.0;211.0
0:00:02.307858;9527.0;27718.0;-283.0;189.0
0:00:02.410370;5848.0;30192.0;-270.0;135.0
0:00:02.509704;2463.0;31994.0;-270.0;118.0
0:00:02.611019;-1013.0;-31917.0;-258.0;114.0
0:00:02.708406;-4242.0;-30454.0;-242.0;115.0
0:00:02.810978;-7374.0;-28920.0;-244.0;134.0
0:00:02.908381;-10414.0;-27212.0;-248.0;153.0
0:00:03.010584;-13572.0;-25205.0;-268.0;181.0
0:00:03.108285;-16936.0;-22883.0;-278.0;200.0
0:00:03.210857;-20535.0;-20327.0;-296.0;185.0
0:00:03.308454;-24322.0;-17944.0;-305.0;172.0
0:00:03.411398;-28269.0;-15701.0;-300.0;163.0
0:00:03.509047;-32092.0;-13560.0;-294.0;154.0
0:00:03.610933;29641.0;-11563.0;-284.0;143.0
0:00:03.708731;26056.0;-9739.0;-277.0;150.0
0:00:03.811018;22456.0;-7732.0;-268.0;159.0
0:00:03.908803;19064.0;-5682.0;-255.0;177.0
0:00:04.011485;15727.0;-3392.0;-245.0;173.0
0:00:04.108862;12651.0;-1195.0;-231.0;159.0
0:00:04.211009;9597.0;888.0;-217.0;129.0
0:00:04.309052;6842.0;2494.0;-193.0;108.0
0:00:04.411728;4365.0;3888.0;-168.0;114.0
0:00:04.509263;2234.0;5310.0;-138.0;110.0
0:00:04.611668;498.0;6755.0;-115.0;112.0
0:00:04.709067;-978.0;8306.0;-123.0;128.0
0:00:04.811876;-2508.0;10003.0;-150.0;129.0
0:00:04.909481;-4395.0;11666.0;-160.0;104.0
0:00:05.011904;-6483.0;13075.0;-147.0;56.0
0:00:05.109570;-8379.0;13878.0;-135.0;39.0
0:00:05.211541;-10088.0;14434.0;-106.0;19.0
0:00:05.309321;-11429.0;14645.0;-74.0;8.0
0:00:05.411794;-12383.0;14739.0;-46.0;7.0
0:00:05.509780;-13000.0;14844.0;-38.0;12.0
0:00:05.612198;-13399.0;15070.0;-15.0;4.0
0:00:05.710194;-13534.0;15146.0;-16.0;6.0
0:00:05.811919;-13768.0;15229.0;-38.0;22.0
0:00:05.909713;-14242.0;15558.0;-45.0;40.0
0:00:06.012236;-14783.0;16025.0;-26.0;15.0
0:00:06.110173;-15104.0;16225.0;1.0;-3.0
0:00:06.212086;-15065.0;16153.0;26.0;-20.0
0:00:06.309886;-14764.0;15869.0;4.0;-5.0
0:00:06.412287;-14723.0;15766.0;-1.0;0.0
0:00:06.510000;-14774.0;15766.0;0.0;-2.0
0:00:06.612578;-14773.0;15755.0;0.0;0.0
0:00:06.710540;-14773.0;15754.0;0.0;0.0
0:00:06.817903;-14773.0;15755.0;0.0;0.0
0:00:06.910059;-14773.0;15753.0;0.0;0.0
0:00:07.012743;-14773.0;15754.0;0.0;-1.0
0:00:07.110579;-14773.0;15753.0;0.0;0.0
0:00:07.212575;-14773.0;15753.0;0.0;0.0
0:00:07.310162;-14773.0;15753.0;0.0;0.0
0:00:07.412621;-14773.0;15753.0;0.0;0.0
0:00:07.510391;-14773.0;15753.0;0.0;0.0
0:00:07.613105;-14773.0;15753.0;0.0;0.0
