#time;posL;posR;velL;velR
0:00:00.010787;-25589.0;4657.0;40.0;-37.0
0:00:00.108062;-25102.0;4287.0;58.0;-54.0
0:00:00.210165;-24279.0;3548.0;87.0;-94.0
0:00:00.307898;-23171.0;2368.0;106.0;-122.0
0:00:00.410234;-21751.0;760.0;123.0;-171.0
0:00:00.508973;-20196.0;-1375.0;143.0;-208.0
0:00:00.610296;-18373.0;-4120.0;169.0;-238.0
0:00:00.708044;-16241.0;-7132.0;184.0;-258.0
0:00:00.810502;-13801.0;-10445.0;204.0;-273.0
0:00:00.908147;-11233.0;-13916.0;220.0;-275.0
0:00:01.010486;-8355.0;-17503.0;231.0;-289.0
0:00:01.108387;-5398.0;-21140.0;244.0;-301.0
0:00:01.210528;-2218.0;-25049.0;250.0;-304.0
0:00:01.308518;933.0;-28906.0;249.0;-306.0
0:00:01.410639;4185.0;32704.0;255.0;-310.0
0:00:01.508665;7405.0;28793.0;253.0;-316.0
0:00:01.612543;10700.0;24704.0;247.0;-306.0
0:00:01.708454;13828.0;20804.0;234.0;-292.0
0:00:01.810873;16899.0;17065.0;211.0;-272.0
0:00:01.908577;19595.0;13617.0;181.0;-253.0
0:00:02.011274;21925.0;10314.0;120.0;-231.0
0:00:02.108623;23424.0;7421.0;71.0;-197.0
0:00:02.210966;24371.0;4907.0;34.0;-158.0
0:00:02.308693;24798.0;2898.0;3.0;-122.0
0:00:02.411563;24831.0;1309.0;0.0;-87.0
0:00:02.509095;24831.0;227.0;9.0;-70.0
0:00:02.611200;24951.0;-639.0;49.0;-95.0
0:00:02.709273;25561.0;-1791.0;100.0;-130.0
0:00:02.811239;26874.0;-3448.0;136.0;-172.0
0:00:02.909334;28651.0;-5628.0;148.0;-204.0
0:00:03.011348;30595.0;-8279.0;148.0;-234.0
0:00:03.109468;32483.0;-11282.0;171.0;-264.0
0:00:03.211442;-30862.0;-14710.0;182.0;-284.0
0:00:03.309559;-28529.0;-18278.0;188.0;-296.0
0:00:03.411908;-26098.0;-22142.0;187.0;-317.0
0:00:03.509591;-23681.0;-26142.0;185.0;-325.0
0:00:03.612113;-21317.0;-30362.0;169.0;-327.0
0:00:03.709841;-19125.0;31023.0;165.0;-323.0
0:00:03.812165;-16986.0;26841.0;163.0;-291.0
0:00:03.910384;-14918.0;23147.0;158.0;-270.0
0:00:04.012176;-12833.0;19681.0;160.0;-237.0
0:00:04.109490;-10807.0;16668.0;153.0;-204.0
0:00:04.212237;-8836.0;14031.0;148.0;-175.0
0:00:04.310072;-6932.0;11837.0;160.0;-155.0
0:00:04.412130;-4814.0;9841.0;177.0;-143.0
0:00:04.509631;-2642.0;7942.0;183.0;-153.0
0:00:04.612557;-391.0;5944.0;170.0;-164.0
0:00:04.709720;1705.0;3894.0;156.0;-159.0
0:00:04.812150;3785.0;1775.0;152.0;-162.0
0:00:04.910223;5649.0;-301.0;138.0;-156.0
0:00:05.012268;7348.0;-2304.0;115.0;-144.0
0:00:05.110313;8860.0;-4130.0;111.0;-135.0
0:00:05.212634;10276.0;-5850.0;95.0;-121.0
0:00:05.311983;11475.0;-7394.0;80.0;-114.0
0:00:05.412387;12536.0;-8871.0;71.0;-108.0
0:00:05.510464;13438.0;-10269.0;64.0;-105.0
0:00:05.612772;14258.0;-11588.0;50.0;-89.0
0:00:05.710458;14954.0;-12751.0;33.0;-70.0
0:00:05.812856;15380.0;-13656.0;16.0;-38.0
0:00:05.910245;15588.0;-14173.0;4.0;-14.0
0:00:06.012661;15619.0;-14365.0;1.0;-1.0
0:00:06.110383;15642.0;-14383.0;-1.0;0.0
0:00:06.212724;15632.0;-14380.0;2.0;-2.0
0:00:06.312799;15667.0;-14402.0;8.0;-4.0
0:00:06.413150;15797.0;-14448.0;4.0;-1.0
0:00:06.510892;15892.0;-14466.0;-1.0;0.0
0:00:06.613429;15879.0;-14466.0;0.0;-6.0
0:00:06.710847;15886.0;-14531.0;1.0;-4.0
0:00:06.813290;15910.0;-14579.0;4.0;0.0
0:00:06.910981;15974.0;-14590.0;1.0;0.0
0:00:07.013360;15994.0;-14587.0;1.0;0.0
0:00:07.111172;16009.0;-14587.0;13.0;-1.0
0:00:07.213134;16164.0;-14592.0;12.0;0.0
0:00:07.311246;16292.0;-14594.0;-3.0;1.0
0:00:07.413217;16263.0;-14576.0;-16.0;-2.0
0:00:07.511340;16128.0;-14595.0;0.0;0.0
0:00:07.613301;16132.0;-14595.0;0.0;0.0
0:00:07.711116;16142.0;-14591.0;-1.0;0.0
0:00:07.813458;16135.0;-14593.0;0.0;0.0
0:00:07.911490;16141.0;-14592.0;0.0;0.0
0:00:08.013611;16138.0;-14593.0;0.0;0.0
0:00:08.111248;16140.0;-14593.0;0.0;0.0
0:00:08.213581;16139.0;-14593.0;0.0;0.0
0:00:08.311527;16139.0;-14593.0;0.0;0.0
0:00:08.413653;16139.0;-14593.0;0.0;0.0
0:00:08.511401;16139.0;-14593.0;0.0;0.0
0:00:08.614179;16139.0;-14593.0;0.0;0.0
0:00:08.711900;16139.0;-14593.0;0.0;0.0
