#time;posL;posR;velL;velR
0:00:00.010083;5725.0;-24194.0;96.0;120.0
0:00:00.108270;6955.0;-22620.0;156.0;194.0
0:00:00.210609;9022.0;-20077.0;229.0;237.0
0:00:00.308372;11922.0;-17080.0;287.0;267.0
0:00:00.410910;15653.0;-13587.0;342.0;290.0
0:00:00.510920;19996.0;-9894.0;361.0;321.0
0:00:00.610297;24673.0;-5730.0;386.0;354.0
0:00:00.708042;29596.0;-1235.0;406.0;380.0
0:00:00.810817;-30658.0;3688.0;415.0;405.0
0:00:00.909133;-25365.0;8873.0;426.0;427.0
0:00:01.010977;-19884.0;14370.0;440.0;443.0
0:00:01.108659;-14326.0;19988.0;448.0;457.0
0:00:01.213899;-8526.0;25922.0;464.0;473.0
0:00:01.308583;-2626.0;31951.0;489.0;489.0
0:00:01.410761;3698.0;-27239.0;497.0;502.0
0:00:01.508831;9990.0;-20866.0;496.0;491.0
0:00:01.611286;16368.0;-14514.0;485.0;461.0
0:00:01.708924;22527.0;-8623.0;456.0;435.0
0:00:01.811308;28438.0;-2955.0;428.0;423.0
0:00:01.908486;-31700.0;2419.0;409.0;408.0
0:00:02.011378;-26423.0;7668.0;394.0;408.0
0:00:02.108561;-21443.0;12875.0;370.0;377.0
0:00:02.211421;-16662.0;17743.0;342.0;351.0
0:00:02.309162;-12310.0;22172.0;325.0;318.0
0:00:02.411511;-8084.0;26317.0;312.0;285.0
0:00:02.508742;-4133.0;29924.0;293.0;259.0
0:00:02.611507;-348.0;-32275.0;262.0;247.0
0:00:02.709298;2994.0;-29145.0;231.0;243.0
0:00:02.811690;6001.0;-25997.0;217.0;231.0
0:00:02.911302;8741.0;-23067.0;192.0;216.0
0:00:03.011303;11233.0;-20233.0;170.0;204.0
0:00:03.109056;13374.0;-17678.0;153.0;179.0
0:00:03.211917;15330.0;-15326.0;133.0;164.0
0:00:03.309518;17022.0;-13266.0;112.0;138.0
0:00:03.411486;18475.0;-11473.0;70.0;93.0
0:00:03.509249;19361.0;-10283.0;26.0;37.0
0:00:03.612050;19738.0;-9765.0;4.0;3.0
0:00:03.709319;19825.0;-9741.0;0.0;0.0
0:00:03.811656;19824.0;-9744.0;0.0;0.0
0:00:03.909901;19824.0;-9735.0;-4.0;4.0
0:00:04.011795;19771.0;-9686.0;-11.0;21.0
0:00:04.109981;19622.0;-9417.0;-25.0;48.0
0:00:04.211870;19303.0;-8869.0;-44.0;61.0
0:00:04.310015;18774.0;-8169.0;-58.0;91.0
0:00:04.412452;17980.0;-6935.0;-78.0;126.0
0:00:04.509679;17036.0;-5336.0;-103.0;148.0
0:00:04.612500;15699.0;-3398.0;-115.0;153.0
0:00:04.709754;14241.0;-1418.0;-111.0;156.0
0:00:04.812062;12809.0;576.0;-126.0;155.0
0:00:04.909905;11211.0;2558.0;-140.0;142.0
0:00:05.012124;9421.0;4477.0;-150.0;150.0
0:00:05.109903;7554.0;6491.0;-153.0;154.0
0:00:05.212220;5575.0;8482.0;-148.0;150.0
0:00:05.310014;3680.0;10301.0;-127.0;141.0
0:00:05.412318;2025.0;12045.0;-98.0;129.0
0:00:05.510088;785.0;13630.0;-83.0;128.0
0:00:05.612434;-280.0;15313.0;-65.0;134.0
0:00:05.710157;-1097.0;17042.0;-54.0;153.0
0:00:05.812518;-1742.0;19053.0;-43.0;175.0
0:00:05.910211;-2240.0;21270.0;-41.0;187.0
0:00:06.012570;-2798.0;23672.0;-30.0;178.0
0:00:06.110769;-3213.0;25948.0;-8.0;160.0
0:00:06.212679;-3349.0;27969.0;1.0;120.0
0:00:06.310376;-3295.0;29468.0;34.0;73.0
0:00:06.412757;-2716.0;30355.0;7.0;60.0
0:00:06.510900;-2615.0;31095.0;9.0;40.0
0:00:06.613151;-2489.0;31632.0;54.0;33.0
0:00:06.710993;-1792.0;32096.0;113.0;64.0
0:00:06.812962;-297.0;-32646.0;159.0;124.0
0:00:06.910626;1711.0;-31094.0;200.0;183.0
0:00:07.013396;4348.0;-28646.0;244.0;253.0
0:00:07.111887;7430.0;-25452.0;285.0;306.0
0:00:07.213103;11165.0;-21467.0;314.0;356.0
0:00:07.311272;15155.0;-16925.0;351.0;386.0
0:00:07.413534;19699.0;-11932.0;379.0;401.0
0:00:07.511257;24507.0;-6879.0;403.0;404.0
0:00:07.613689;29718.0;-1646.0;426.0;401.0
0:00:07.711335;-30409.0;3465.0;453.0;408.0
0:00:07.813840;-24540.0;8744.0;473.0;423.0
0:00:07.911493;-18511.0;14134.0;476.0;453.0
0:00:08.013454;-12328.0;20013.0;477.0;469.0
0:00:08.111569;-6279.0;25980.0;467.0;490.0
0:00:08.213515;-239.0;32319.0;454.0;477.0
0:00:08.311499;5508.0;-27189.0;441.0;467.0
0:00:08.414091;11245.0;-21104.0;435.0;473.0
0:00:08.511758;16750.0;-15086.0;433.0;464.0
0:00:08.614233;22321.0;-9078.0;431.0;442.0
0:00:08.711747;27788.0;-3490.0;422.0;411.0
0:00:08.813815;-32312.0;1827.0;405.0;389.0
0:00:08.911518;-27177.0;6745.0;371.0;360.0
0:00:09.013879;-22371.0;11385.0;330.0;331.0
0:00:09.111551;-18187.0;15608.0;289.0;294.0
0:00:09.213937;-14445.0;19392.0;246.0;256.0
0:00:09.311640;-11284.0;22679.0;210.0;221.0
0:00:09.414083;-8548.0;25573.0;175.0;192.0
0:00:09.512180;-6243.0;28044.0;144.0;166.0
0:00:09.614638;-4297.0;30258.0;122.0;157.0
0:00:09.712301;-2740.0;32347.0;97.0;143.0
0:00:09.814181;-1443.0;-31364.0;94.0;121.0
0:00:09.912383;-236.0;-29897.0;89.0;97.0
0:00:10.014348;901.0;-28612.0;79.0;88.0
0:00:10.112006;1905.0;-27497.0;67.0;73.0
0:00:10.214841;2765.0;-26583.0;27.0;34.0
0:00:10.312617;3096.0;-26104.0;-2.0;19.0
0:00:10.414443;3015.0;-25780.0;-47.0;46.0
0:00:10.512159;2387.0;-25252.0;-77.0;70.0
0:00:10.615002;1418.0;-24461.0;-96.0;89.0
0:00:10.712285;190.0;-23438.0;-97.0;108.0
0:00:10.814625;-1091.0;-22131.0;-108.0;128.0
0:00:10.912802;-2501.0;-20490.0;-121.0;147.0
0:00:11.015169;-4089.0;-18576.0;-133.0;160.0
0:00:11.112443;-5787.0;-16566.0;-149.0;168.0
0:00:11.214870;-7738.0;-14374.0;-156.0;157.0
0:00:11.312998;-9720.0;-12355.0;-161.0;136.0
0:00:11.415333;-11802.0;-10563.0;-151.0;124.0
0:00:11.513053;-13715.0;-8977.0;-145.0;105.0
0:00:11.615317;-15590.0;-7635.0;-134.0;81.0
0:00:11.712782;-17275.0;-6587.0;-125.0;74.0
0:00:11.815507;-18875.0;-5603.0;-122.0;82.0
0:00:11.912830;-20400.0;-4527.0;-139.0;110.0
0:00:12.015558;-22182.0;-3139.0;-135.0;113.0
