#time;posL;posR;velL;velR
0:00:00.010190;-18463.0;10961.0;32.0;42.0
0:00:00.108701;-17991.0;11468.0;80.0;72.0
0:00:00.210190;-16935.0;12405.0;117.0;123.0
0:00:00.307601;-15462.0;14018.0;153.0;163.0
0:00:00.410365;-13469.0;16108.0;184.0;187.0
0:00:00.508247;-11103.0;18572.0;215.0;218.0
0:00:00.610601;-8298.0;21374.0;250.0;246.0
0:00:00.707841;-5147.0;24496.0;274.0;270.0
0:00:00.810143;-1604.0;27999.0;304.0;298.0
0:00:00.908226;2258.0;31799.0;315.0;331.0
0:00:01.010772;6333.0;-29451.0;314.0;358.0
0:00:01.107976;10376.0;-24851.0;324.0;372.0
0:00:01.210236;14606.0;-19970.0;348.0;368.0
0:00:01.309255;19060.0;-15234.0;372.0;356.0
0:00:01.410403;23921.0;-10647.0;390.0;333.0
0:00:01.508233;28876.0;-6425.0;382.0;332.0
0:00:01.610574;-31723.0;-2122.0;355.0;347.0
0:00:01.709508;-27224.0;2278.0;341.0;355.0
0:00:01.810574;-22794.0;6844.0;338.0;359.0
0:00:01.908087;-18473.0;11415.0;343.0;358.0
0:00:02.010517;-14045.0;16065.0;345.0;358.0
0:00:02.108300;-9671.0;20622.0;336.0;342.0
0:00:02.211885;-5290.0;25070.0;331.0;342.0
0:00:02.308839;-1088.0;29409.0;334.0;329.0
0:00:02.411014;3228.0;-31857.0;334.0;321.0
0:00:02.508534;7479.0;-27795.0;327.0;317.0
0:00:02.611312;11738.0;-23697.0;320.0;306.0
0:00:02.709766;15769.0;-19833.0;302.0;299.0
0:00:02.811381;19673.0;-15960.0;287.0;283.0
0:00:02.908722;23348.0;-12338.0;275.0;268.0
0:00:03.011094;26903.0;-8863.0;262.0;243.0
0:00:03.112127;30218.0;-5770.0;251.0;233.0
0:00:03.211217;-32109.0;-2763.0;253.0;241.0
0:00:03.308910;-28922.0;281.0;258.0;241.0
0:00:03.411218;-25622.0;3358.0;244.0;230.0
0:00:03.514517;-22554.0;6284.0;216.0;221.0
0:00:03.611923;-19744.0;9137.0;210.0;198.0
